H0,H1,date,alias
"Some states delay plans to reopen after more than 40,000 new cases were recorded on Friday.",,2020-06-27,bbcnews
US reels from record spike in Covid-19 cases,,2020-06-27,bbcnews
"US has 'serious problem' with virus, says Fauci","The infection is rampant in 16 states, some of which are now freezing their reopening plans.",2020-06-27,bbcnews
Coca-Cola halts social media ads over hate content,"The drinks maker condemns racism, and demands greater accountability and transparency from platforms.",2020-06-27,bbcnews
Simpsons ends white actor voiceovers for minorities,The decision by the US comedy show follows years of criticism over a white actor playing an Indian.,2020-06-27,bbcnews
Designer of iconic 'I  NY' logo dies aged 91,Milton Glaser also created a famous poster of Bob Dylan and co-founded New York magazine.,2020-06-27,bbcnews
Martin to become Irish PM after parties back deal,"Fianna Fil, Fine Gael and Green Party members voted to go into government together on Friday.",2020-06-27,bbcnews
UK to open up European holidays from 6 July,"Customers should be encouraged to book when the list of countries is confirmed, travel sector says.",2020-06-27,bbcnews
Outrage mounts over India police custodial deaths,"The two men died after allegedly being tortured in police custody, raising calls for justice.",2020-06-27,bbcnews
Macron set for Covid test in French vote,The French president's popularity has fallen during the crisis - now he faces delayed local elections.,2020-06-27,bbcnews
"Fans' behaviour 'unacceptable', say Liverpool FC ","Flares were lit as thousands turned up at the city's waterfront, despite restrictions on gatherings.",2020-06-27,bbcnews
Trump orders statues be protected from 'mob rule',"""Anarchists"" who damage US monuments should face up to a decade in prison, the president says.",2020-06-27,bbcnews
US imposes visa restrictions on Chinese officials,The sanctions aim to punish Beijing over a planned security law that could erode Hong Kong's autonomy.,2020-06-27,bbcnews
Canada officer guilty after 'street justice' blinding,"A black man loses an eye in a beating by an off-duty Toronto officer, who accused him of car-hopping.",2020-06-27,bbcnews
"US has 'serious problem' with virus, says Fauci","The infection is rampant in 16 states, some of which are now freezing their reopening plans.",2020-06-27,bbcnews
Coca-Cola halts social media ads over hate content,"The drinks maker condemns racism, and demands greater accountability and transparency from platforms.",2020-06-27,bbcnews
Simpsons ends white actor voiceovers for minorities,The decision by the US comedy show follows years of criticism over a white actor playing an Indian.,2020-06-27,bbcnews
Designer of iconic 'I  NY' logo dies aged 91,Milton Glaser also created a famous poster of Bob Dylan and co-founded New York magazine.,2020-06-27,bbcnews
Martin to become Irish PM after parties back deal,"Fianna Fil, Fine Gael and Green Party members voted to go into government together on Friday.",2020-06-27,bbcnews
UK to open up European holidays from 6 July,"Customers should be encouraged to book when the list of countries is confirmed, travel sector says.",2020-06-27,bbcnews
Outrage mounts over India police custodial deaths,"The two men died after allegedly being tortured in police custody, raising calls for justice.",2020-06-27,bbcnews
Macron set for Covid test in French vote,The French president's popularity has fallen during the crisis - now he faces delayed local elections.,2020-06-27,bbcnews
"Fans' behaviour 'unacceptable', say Liverpool FC ","Flares were lit as thousands turned up at the city's waterfront, despite restrictions on gatherings.",2020-06-27,bbcnews
Trump orders statues be protected from 'mob rule',"""Anarchists"" who damage US monuments should face up to a decade in prison, the president says.",2020-06-27,bbcnews
US imposes visa restrictions on Chinese officials,The sanctions aim to punish Beijing over a planned security law that could erode Hong Kong's autonomy.,2020-06-27,bbcnews
Canada officer guilty after 'street justice' blinding,"A black man loses an eye in a beating by an off-duty Toronto officer, who accused him of car-hopping.",2020-06-27,bbcnews
Seeking a workmate in a historic Australian tunnel,,2020-06-27,bbcnews
Wax print: Africa's pride or colonial legacy?,,2020-06-27,bbcnews
Where do statues go when they die?,,2020-06-27,bbcnews
Travelling the road to Israeli annexation in the West Bank,,2020-06-27,bbcnews
Dressing to impress: Nigeria-style,,2020-06-27,bbcnews
From coronavirus doctor to Mr Gay World,,2020-06-27,bbcnews
Man 'aged over 100' recovers from Covid-19,,2020-06-27,bbcnews
Virus health claims that won't go away,,2020-06-27,bbcnews
Saying goodbye to our British Dream?,,2020-06-27,bbcnews
Striking news pictures from around the world,,2020-06-27,bbcnews
Will Ferrell is a Eurovision flop ,,2020-06-27,bbcnews
The scammers promising poison on Facebook,,2020-06-27,bbcnews
How Klopp turned Liverpool into title winners,,2020-06-27,bbcnews
Can Kenzie Ziegler go from child star to pop star?,,2020-06-27,bbcnews
Hydroxychloroquine: The story so far,,2020-06-27,bbcnews
Globetrotting fake news - from Bolivia to Serbia,,2020-06-27,bbcnews
Is this the next Windrush scandal?,,2020-06-27,bbcnews
The curious case of the ex-marine jailed for spying,,2020-06-27,bbcnews
Why US is expecting an 'avalanche' of evictions,,2020-06-27,bbcnews
"'After mum died, no-one talked about her for 15 years'",,2020-06-27,bbcnews
'Why did my brother die in police custody?',,2020-06-27,bbcnews
A threat to Indias unique tea culture,,2020-06-27,bbcnews
The surprising truth about the hot dog,,2020-06-27,bbcnews
The most powerful word in English,,2020-06-27,bbcnews
How much of your body is actually you?,,2020-06-27,bbcnews
The deadly hail the size of boulders,,2020-06-27,bbcnews
Canada's lost social experiment,,2020-06-27,bbcnews
Championship: Three games under way in second tier,,2020-06-27,bbcnews
Ecclestone comments on race ignorant and uneducated - Hamilton,,2020-06-27,bbcnews
"'We want to perform for manager, club & city' - Liverpool's title-winning captain Henderson",,2020-06-27,bbcnews
FA Cup returns - everything you need to know,,2020-06-27,bbcnews
'Change is coming' - Black Power salute athlete Smith backs sports stars taking knee ,,2020-06-27,bbcnews
Ronaldo scores as Juventus beat Lecce,,2020-06-27,bbcnews
Coronavirus updates: Miami to close beaches for July 4 weekend,,2020-06-27,abcnews
"The U.S. coronavirus death toll has surpassed 125,000.",,2020-06-27,abcnews
"In reversal, Trump administration will extend support to Texas COVID-19 testing sites",,2020-06-27,abcnews
Don't fall for these 3 myths about face masks,,2020-06-27,abcnews
Campaign raises money for Black-led political groups every time Trump tweets,,2020-06-27,abcnews
Taiwan dragon boat teams race in downsized festival,,2020-06-27,abcnews
FEC commissioner resigns from post,,2020-06-27,abcnews
"EU to ban US travelers due to spike in coronavirus cases, source says",,2020-06-27,abcnews
Demand for dexamethasone soars after promising findings in UK,,2020-06-27,abcnews
Feds investigate purportedly faulty COVID-19 test components,,2020-06-27,abcnews
Trump signs executive order on federal hiring,,2020-06-27,abcnews
"Amid pandemic, Trump administration asks Supreme Court to overturn Obamacare",,2020-06-27,abcnews
Trump slammed for coronavirus response,,2020-06-27,abcnews
Retired Gen. Joseph Dunford is candidate for chair of oversight commission: Sources,,2020-06-27,abcnews
Madison Cawthorn says team 'kept all politics local' to win primary,,2020-06-27,abcnews
The Note: Polls suggest Trump misreads a moment on COVID-19,,2020-06-27,abcnews
Vos issues rule steering more virus aid to private schools,,2020-06-27,abcnews
'Hes like a child': Biden slams Trumps handling of coronavirus pandemic,,2020-06-27,abcnews
House bill's passage expected to force standoff with GOP over policing,,2020-06-27,abcnews
"DC delegate in showdown with Trump over removing Lincoln, Jackson statues",,2020-06-27,abcnews
Dems urge Trump's new pick for SDNY to withdraw from consideration,,2020-06-27,abcnews
B in virus relief payments to dead people: Report,,2020-06-27,abcnews
"Trump heads to battleground state amid bad polls, worsening coronavirus pandemic",,2020-06-27,abcnews
Minneapolis City Council votes to replace the police department with new organization,,2020-06-27,abcnews
Special prosecutor will investigate 2019 death of Elijah Mc,,2020-06-27,abcnews
Assault on woman being investigated as hate crime after she's allegedly set on fire,,2020-06-27,abcnews
17 correction officers disciplined after detainee's death,,2020-06-27,abcnews
Family of NYPD chokehold victim concerned about his mental health,,2020-06-27,abcnews
Officer seen mocking Floyd's death removed from corrections department,,2020-06-27,abcnews
Reopened for business: Here's how states responded to coronavirus in May,,2020-06-27,abcnews
Economy vs. death: How April shaped Americas coronavirus response,,2020-06-27,abcnews
How did we get here? Americans' response to coronavirus in March,,2020-06-27,abcnews
Should you wear gloves while you grocery shop?,,2020-06-27,abcnews
Coronavirus testing in the US,,2020-06-27,abcnews
Timeline: Trumps response to the coronavirus pandemic,,2020-06-27,abcnews
How can antibodies be used to treat COVID-19: Blood plasma explained,,2020-06-27,abcnews
PPE shortage: How did it happen?,,2020-06-27,abcnews
Coronavirus and the human body,,2020-06-27,abcnews
How higher tariffs on European exports could devastate the food and wine industry,,2020-06-27,abcnews
"Milton Glaser, designer of 'I Love NY' logo, dies at 91",,2020-06-27,abcnews
How two fathers and their teenage sons are talking about race in America,,2020-06-27,abcnews
US police registry would fail without changes in states,,2020-06-27,abcnews
How an appliance technicians conversation about race resonated around the world,,2020-06-27,abcnews
Virtual Pride events offer new way to celebrate LGBTQ history and culture in June,,2020-06-27,abcnews
Commemorating the SCOTUS gay marriage decision 5 years later,,2020-06-27,abcnews
"Faces of some of the more than 120,000 lives lost in US to coronavirus",,2020-06-27,abcnews
New mom celebrates COVID recovery after delivering son while in ICU,,2020-06-27,abcnews
"COVID-19 in children is usually mild, deaths rare, study says",,2020-06-27,abcnews
Infant mortality rates in decline in the US as teen pregnancy decreases: CDC,,2020-06-27,abcnews
"PHOTOS: Death of George Floyd sparks widespread outcry, protests",,2020-06-27,abcnews
Photographer describes capturing shooting: 'Whole sequence probably took a minute',,2020-06-27,abcnews
'Mulan' release date pushed back again,,2020-06-27,abcnews
Daytime Emmys go virtual in age of coronavirus pandemic,,2020-06-27,abcnews
Carrie Fisher's daughter Billie Lourd announces she's engaged!,,2020-06-27,abcnews
These 2 moms are bringing diverse books to their community one lemonade at a time,,2020-06-27,abcnews
Photos: Creative coronavirus social distancing,,2020-06-27,abcnews
'Jeopardy!' host Alex Trebek and wife Jean donate $500,,2020-06-27,abcnews
K to local homeless shelter,,2020-06-27,abcnews
This valedictorian hasn't missed a day of school since pre-K,,2020-06-27,abcnews
Broadway star buys house built by slaves: 'I've never been prouder to be a Black man',,2020-06-27,abcnews
Ariana Grande rings in 27 with a selfie featuring her new beau,,2020-06-27,abcnews
Why Michael B. Jordan is playing free movies at drive-ins across the US all summer,,2020-06-27,abcnews
Katy Perry shares her ultimate hope for her daughter,,2020-06-27,abcnews
Nicole Kidman and Keith Urban celebrate wedding anniversary,,2020-06-27,abcnews
Sia talks 'blessing' of motherhood after adopting 2 sons: 'I'm in heaven',,2020-06-27,abcnews
"How to do your own box braids like a pro: tools, tips and best practices",,2020-06-27,abcnews
Pediatrician adopts her 10-year-old patient and his younger sister,,2020-06-27,abcnews
This bakery put a fun twist on the classic black-and-white cookie,,2020-06-27,abcnews
"Search for Black-owned businesses up over 1,700% and people are craving fondue: Yelp",,2020-06-27,abcnews
Ford's new pickup truck available as a hybrid for 1st time in 43 years,,2020-06-27,abcnews
Check out these face masks designed to wear while working out,,2020-06-27,abcnews
Kanye West is bringing his Yeezy line to Gap,,2020-06-27,abcnews
Beyonce to be honored with the Humanitarian Award at 2020 BET Awards,,2020-06-27,abcnews
Jenna Marbles announces she's quitting You,,2020-06-27,abcnews
Tube over 'shameful' videos,,2020-06-27,abcnews
Faith Hill slams the Mississippi flag as a 'symbol of terror',,2020-06-27,abcnews
Trisha Yearwood: Count on Garth Brooks to bring it for drive-in concerts this weekend,,2020-06-27,abcnews
'GMA' Deals & Steals on summer fashion and accessories,,2020-06-27,abcnews
"BLM Protest, Social Distancing, Juneteenth: This Week In Pictures",,2020-06-27,abcnews
"Joel Schumacher, Ian Holm and other notable people who died in 2020",,2020-06-27,abcnews
George Floyd protests have spread to small cities and towns in the US,,2020-06-27,abcnews
PHOTOS: Coronavirus outbreak sparks global health emergency,,2020-06-27,abcnews
Scenes of the Summer,,2020-06-27,abcnews
East Coast at risk of severe weather this weekend,,2020-06-27,abcnews
